	z_coordinate_0	z_coordinate_1
0	-5.915325	6.835586
1	7.6697154	-7.956513
2	3.960745	0.9427469
3	-6.4550223	9.911594
4	1.9926158	-3.9266882
5	-9.409669	1.8154489
6	2.5519068	2.8315394
7	12.851542	-0.017470941
8	-0.9989809	4.0519156
9	-6.597591	9.423373
10	-5.9443307	8.850513
11	-6.3752375	9.46463
12	-1.8642682	4.7502236
13	14.571876	-11.081287
14	1.8490992	-2.8584535
15	1.3401282	-2.4881973
16	-8.878056	2.0542216
17	1.9371327	-2.874136
18	-6.893972	9.201389
19	2.0449078	-3.0770855
20	4.486078	4.4586096
21	1.221099	-2.7534
22	1.5830238	-1.9813515
23	-7.3289323	-10.461939
24	-6.0523467	1.1350207
25	-6.2046647	-1.1389785
26	13.812117	0.35185146
27	-6.9418836	-10.092766
28	-6.307306	9.08441
29	-5.996409	-10.256786
30	-9.243442	1.7353189
31	1.073695	-2.295581
32	0.77496535	-2.9254243
33	-0.1077956	-3.0023189
34	-6.5770106	8.277842
35	-3.3345976	2.8740005
36	1.8685676	12.678573
37	2.0053887	-3.0105464
38	-9.504629	2.0764217
39	2.0894692	0.52241343
40	2.1798491	-2.5747967
41	-6.7380214	9.47443
42	1.409339	-3.0769806
43	7.5518	10.476522
44	0.7040384	-2.8469296
45	7.453064	11.033618
46	0.6265147	-3.0062253
47	1.6142642	-2.9168558
48	-9.421354	1.6998578
49	-9.137612	1.0381565
50	3.300289	-3.0704677
51	0.66105336	-1.9876319
52	4.262093	4.48526
53	2.0947516	-3.82518
54	12.656724	-1.1335655
55	0.6301334	-2.650961
56	1.6950247	-2.9543915
57	9.154607	1.2941471
58	1.8005363	-3.2391057
59	1.3327177	-2.410034
60	12.743452	0.4890095
61	-6.930928	8.828338
62	-8.851084	1.9919987
63	4.404497	4.25046
64	7.1947074	10.1131
65	2.6025488	7.6740727
66	3.1242967	12.706124
67	1.5723325	-2.225937
68	1.3638892	-2.7187161
69	10.727785	6.119324
70	4.586214	4.257772
71	-7.0453877	-1.3703054
72	1.9370756	-4.857109
73	1.453619	-2.9095595
74	-1.2941291	2.8247705
75	-4.959183	7.2428966
76	-6.8598876	-9.897781
77	-6.1738753	-10.110263
78	1.9183284	-2.44784
79	1.5922065	-2.8849134
80	1.0167224	-2.1573992
81	1.5125943	-2.3466675
82	2.2083478	-2.7330484
83	-7.5498505	-9.691608
84	-5.673984	-8.106146
85	0.645491	-2.3265448
86	1.8353641	-2.3877096
87	-7.133398	-9.6889305
88	-7.322907	-1.5241877
89	-0.34368205	-3.6974168
90	1.2178146	-2.2197542
91	1.2329211	-3.0413313
92	-9.246558	1.8077842
93	0.1464113	-3.2671847
94	2.6657395	7.695147
95	3.800178	-4.953796
96	0.76148736	-2.1984344
97	-7.0549273	-9.661114
98	1.499851	-2.331416
99	9.545884	-10.80571
100	1.5663654	-2.210732
101	-6.848184	8.878144
102	1.6107368	-3.1755269
103	-9.723226	2.7109616
104	0.36930513	-2.793088
105	-7.741454	0.58272976
106	10.632188	6.458958
107	0.51294124	-2.384091
108	-9.3197775	1.2658718
109	2.4277065	-2.4156237
110	-6.332354	9.044203
111	0.028230779	-2.594119
112	1.7201182	-2.8303108
113	-6.9795375	-9.901764
114	-6.3631167	8.970777
115	0.13090226	11.727685
116	1.8063095	-2.856593
117	4.0128794	-3.307461
118	0.12828058	-1.7233211
119	10.894086	6.4186726
120	-6.376063	9.390406
121	0.43209952	-2.2913392
122	-0.0058834627	11.480291
123	-2.0831542	4.591883
124	6.529945	2.679916
125	0.5782926	-2.0293655
126	-0.07568175	-1.9496957
127	2.4752803	5.839777
128	-5.314469	-7.7747865
129	12.959131	0.12892498
130	-6.340595	8.389681
131	-7.0978246	-10.296036
132	1.720837	-2.7333572
133	-5.6864467	-10.679754
134	-0.26450706	6.4020042
135	-9.235622	1.7403326
136	4.0029626	2.0521417
137	-4.8584456	7.6015882
138	0.040639512	-2.069192
