	log_likelihood
0	295.46838
1	203.59213
2	307.3303
3	303.76227
4	331.9157
5	307.55145
6	305.48608
7	289.23926
8	312.889
9	299.76898
10	308.15048
11	309.1986
12	298.07343
13	132.5231
14	335.94437
15	327.3908
16	310.61542
17	326.31818
18	317.4151
19	324.73358
20	310.65643
21	340.85574
22	315.5333
23	218.27812
24	308.23712
25	297.07208
26	264.09613
27	246.58257
28	318.1403
29	247.75516
30	310.74252
31	341.10065
32	333.9992
33	330.51016
34	307.86737
35	304.20276
36	275.9689
37	338.80365
38	282.5414
39	321.12994
40	326.62015
41	316.73798
42	312.69342
43	272.71497
44	322.79352
45	249.24434
46	337.11288
47	340.37265
48	299.4692
49	290.20367
50	318.10736
51	332.13275
52	310.19327
53	340.47742
54	302.95627
55	316.7635
56	331.26752
57	287.9799
58	310.34955
59	333.50314
60	295.68817
61	304.17
62	305.46198
63	302.67633
64	278.9533
65	225.4761
66	280.05936
67	313.6378
68	331.67407
69	297.0522
70	306.7092
71	281.00104
72	296.3531
73	322.80426
74	317.91193
75	312.5844
76	255.62402
77	232.00386
78	304.15268
79	326.14236
80	309.35034
81	319.40323
82	324.1189
83	245.07121
84	279.30707
85	315.81403
86	315.9059
87	235.30074
88	254.41489
89	323.89545
90	331.74542
91	331.95435
92	321.43118
93	317.9096
94	230.3052
95	290.3582
96	329.7646
97	240.75485
98	326.37903
99	270.6551
100	319.7345
101	305.60165
102	316.0555
103	276.58823
104	323.97015
105	311.15536
106	292.58148
107	298.70218
108	308.08966
109	311.20483
110	308.0786
111	334.60388
112	337.34433
113	258.14975
114	302.98697
115	282.377
116	322.4966
117	306.6126
118	300.0341
119	259.17392
120	311.55557
121	335.7582
122	279.66336
123	295.39032
124	231.90738
125	308.45557
126	327.6474
127	274.9861
128	249.78784
129	280.3078
130	308.17682
131	242.89682
132	322.7713
133	227.87422
134	295.87665
135	302.14243
136	298.7864
137	304.46664
138	336.16608
139	308.4461
140	298.05008
141	292.58194
142	294.72382
143	293.8172
144	295.3228
145	310.26215
146	296.14142
147	297.1578
148	215.15279
149	266.5373
150	297.48624
151	309.0979
152	317.89825
153	322.86243
154	303.00946
155	291.27298
156	315.72256
157	329.69534
158	323.8792
159	288.6384
160	219.16919
161	326.0874
162	308.53912
163	294.33237
164	309.14755
165	307.19983
166	168.53804
167	277.23108
168	229.9793
169	308.5661
170	288.1916
171	297.53387
172	330.32635
173	327.11688
174	323.41278
175	325.20087
176	240.9401
177	334.00775
178	226.34541
179	292.93948
180	193.29196
181	241.90947
182	227.3542
183	303.95688
184	313.12103
185	266.7802
186	277.12543
187	319.9632
188	309.5521
189	299.39575
190	275.1825
191	288.68915
192	297.96783
193	298.1207
194	299.5959
195	254.12186
196	306.085
197	168.41022
198	303.6569
199	320.45648
200	337.49777
201	281.695
202	306.81714
203	305.5177
204	320.67426
205	289.79672
206	294.51538
207	296.18927
208	243.52481
209	281.5355
210	221.91423
211	300.2944
212	294.95377
213	289.7986
214	309.183
215	104.15053
216	315.03247
217	120.64199
218	308.34445
219	275.79312
220	279.22076
221	318.4271
222	334.57886
223	326.74768
224	299.81998
225	312.6421
226	230.09378
227	322.36777
228	313.59628
229	321.94696
230	313.10123
231	321.23438
232	288.18744
233	314.0847
234	190.86534
235	292.14227
236	324.11438
237	306.34207
238	255.40556
239	309.37592
240	266.4835
241	270.451
242	317.51773
243	326.2176
244	321.7188
245	324.4861
246	273.2426
247	316.61774
248	303.89365
249	302.62183
250	309.8583
251	326.1858
252	325.80475
253	297.33795
254	309.79755
255	316.06046
256	334.20728
257	268.0974
258	239.90462
259	318.6872
260	300.50476
261	337.86346
262	323.91064
263	289.29266
264	331.25067
265	288.38956
266	318.614
267	280.6356
268	292.37463
269	280.86667
270	231.14426
271	320.54425
272	240.04355
273	316.07544
274	289.59116
275	320.18597
276	287.96783
277	321.242
278	282.15976
279	277.41928
280	305.04608
281	338.9895
282	308.33813
283	238.83028
284	330.40594
285	280.33932
286	311.2379
287	308.11108
288	313.73746
289	314.2202
290	312.58746
291	303.94983
292	198.60417
293	330.75974
294	250.69441
295	335.17978
296	331.7945
297	246.03691
298	303.33038
299	298.2073
300	294.52905
301	303.9642
302	320.48233
303	320.91107
304	328.22348
305	292.12256
306	324.85925
307	168.26114
308	322.37833
309	317.6988
310	271.16052
311	325.20786
312	286.1115
313	326.38956
314	283.44568
315	315.58984
316	258.91595
317	295.7574
318	316.2274
319	315.24994
320	318.459
321	51.287373
322	301.05038
323	323.17825
324	330.1458
325	311.16852
326	262.7109
327	297.78644
328	303.59222
329	229.78952
330	297.08365
331	252.8999
332	315.76596
333	296.00317
334	331.82748
335	304.66544
336	324.2305
337	338.93988
338	281.5522
339	310.52618
340	311.23492
341	332.3236
342	-5.3379793
343	239.36682
344	326.06085
345	297.1694
346	320.96594
347	324.753
348	305.47992
349	330.74677
350	285.67694
351	305.72888
352	305.419
353	316.58044
354	307.75253
355	280.4243
356	326.0551
357	282.9444
358	312.237
359	337.3316
360	233.46953
361	317.9882
362	275.08603
363	277.65237
364	299.6762
365	333.01215
366	262.28067
367	317.29135
368	286.8786
369	257.8644
370	342.9995
371	263.54147
372	315.71075
373	280.26266
374	311.92868
375	291.76297
376	276.6181
377	327.68042
378	312.78534
379	283.59338
380	287.48502
381	294.9572
382	226.40323
383	294.9835
384	297.3073
385	288.7115
386	206.79973
387	200.41324
388	282.48145
389	326.26053
390	288.59015
391	327.9317
392	310.725
393	340.64557
394	328.33932
395	238.65698
396	309.88315
397	308.67944
398	335.89444
399	292.86096
400	319.4857
401	244.40494
402	275.40656
403	299.14294
404	319.7818
405	313.0425
406	292.32803
407	288.56625
408	251.50533
409	305.5114
410	234.26517
411	208.86577
412	318.1623
413	311.83734
414	276.2249
415	306.3707
416	313.7647
417	335.64746
418	326.47955
419	317.35797
420	319.933
421	298.57788
422	270.17993
423	329.38397
424	292.11905
425	218.74731
426	288.46973
427	280.52057
428	286.15173
429	318.9028
430	315.63712
431	311.2495
432	317.08493
433	255.03882
434	276.13376
435	292.6487
436	278.94534
437	335.0539
438	308.5185
439	293.9359
440	339.77322
441	285.8926
442	278.8085
443	314.54288
444	300.83887
445	324.9851
446	305.60236
447	312.88843
448	125.11338
449	256.15536
450	219.87546
451	322.43863
452	312.4
453	273.99017
454	323.70468
455	329.47662
456	225.64993
457	329.61636
458	304.06375
459	298.25015
460	264.60687
461	317.6517
462	318.9511
463	303.59204
464	299.78973
465	297.26706
466	313.19476
467	284.8045
468	212.03699
469	236.57132
470	275.1795
471	329.4829
472	309.52188
473	317.38672
474	296.53006
475	318.02316
476	268.27997
477	299.93692
478	341.80365
479	289.761
480	317.68637
481	313.9453
482	315.4415
483	318.10565
484	312.09607
485	269.15387
486	326.90482
487	304.88858
488	317.976
489	315.36792
490	318.4336
491	305.1377
492	280.07248
493	310.11383
494	305.64426
495	269.7458
496	247.84702
497	281.41583
498	251.07089
499	306.4144
500	287.61578
501	188.3535
502	269.83365
503	313.63904
504	315.71094
505	322.7454
506	320.17053
507	297.239
508	226.42941
509	314.77386
510	311.39148
511	288.8916
512	302.20114
513	325.50473
514	317.49347
515	316.5355
516	270.82843
517	295.19434
518	322.6621
519	286.55225
520	323.95547
521	253.60095
522	296.9051
523	310.135
524	311.01498
525	315.57623
526	303.45117
527	311.34015
528	283.0389
529	309.62814
530	314.61737
531	313.001
532	309.40924
533	329.52954
534	283.85614
535	259.26065
536	245.7734
537	322.98676
538	218.49341
539	333.97272
540	314.81146
541	303.45728
542	320.1975
543	318.52255
544	214.58708
545	302.24063
546	223.46379
547	301.8642
548	193.16104
549	329.829
550	325.37936
551	216.0695
552	296.19202
553	307.0537
554	267.01727
555	282.1315
556	278.67468
557	321.87396
558	308.4856
559	273.94476
560	245.42105
561	300.5503
562	224.99158
563	275.78555
564	318.211
565	297.18658
566	316.24823
567	333.3252
568	335.4375
569	319.06293
570	186.64941
571	305.63104
572	328.38837
573	298.62222
574	282.78986
575	287.50128
576	316.82782
577	228.96707
578	292.28674
579	299.37152
580	276.685
581	285.61102
582	272.77075
583	301.0087
584	323.32526
585	308.14703
586	294.65845
587	299.3123
588	288.02032
589	313.24872
590	295.46063
591	315.41312
592	318.3496
593	301.86664
594	297.3274
595	313.81216
596	273.28296
597	315.3323
598	307.23047
599	305.6513
600	319.61493
601	270.92517
602	279.96722
603	319.87555
604	302.30588
605	292.83444
606	320.21747
607	277.09644
608	296.98285
609	291.2827
610	305.45554
611	340.5712
612	318.90927
613	306.18384
614	205.18379
615	310.4466
616	326.55307
617	254.92598
618	272.16827
619	308.37555
620	293.55035
621	301.41397
622	313.02728
623	275.8488
624	308.07526
625	284.28094
626	317.386
627	305.99677
628	229.29224
629	329.98972
630	285.31012
631	311.58917
632	285.2132
633	317.4256
634	322.24127
635	308.99673
636	199.78975
637	276.03058
638	306.99365
639	323.98175
640	296.13388
641	251.5577
642	216.27866
643	312.57565
644	331.1315
645	238.34915
646	301.35928
647	321.4707
648	326.19522
649	224.98624
650	320.71518
651	268.35483
652	338.88998
653	239.78586
654	323.7741
655	218.96953
656	334.50803
657	258.2075
658	305.0694
659	323.11783
660	308.26587
661	320.88312
662	323.1784
663	291.28632
664	170.88995
665	306.15848
666	309.41705
667	314.1012
668	321.8759
669	273.32535
670	216.26956
671	311.16852
672	271.59903
673	299.7946
674	320.06592
675	285.16464
676	300.3741
677	297.54883
678	326.52045
679	318.21313
680	327.73752
681	288.3919
682	335.8664
683	230.90909
684	311.33813
685	300.15247
686	198.54472
687	310.74002
688	298.82477
689	287.0496
690	248.55429
691	262.03772
692	265.14633
693	265.39706
694	290.38104
695	262.5428
696	290.73193
697	285.49118
698	309.98273
699	305.1574
700	298.89447
701	285.86905
702	297.15912
703	284.7797
704	307.8421
705	329.05972
706	311.88116
707	283.49585
708	299.00528
709	251.0795
710	304.32794
711	319.53897
712	302.34882
713	323.61533
714	336.1212
715	314.2763
716	294.0441
717	294.55283
718	315.62994
719	283.05176
720	325.9531
721	320.597
722	316.2104
723	307.9986
724	273.4226
725	192.55745
726	239.37906
727	325.45425
728	278.10275
729	322.78967
730	329.7199
731	330.0399
732	229.70206
733	327.30264
734	327.11914
735	237.24934
736	259.2193
737	295.7242
738	275.25424
739	298.29642
740	328.82477
741	290.5303
742	272.60733
743	282.25885
744	299.69073
745	324.99667
746	292.29254
747	282.81088
748	325.6683
749	333.7492
750	331.12247
751	306.59195
752	252.61307
753	338.29578
754	247.37411
755	318.9753
756	251.89697
757	317.7657
758	311.95667
759	296.05475
760	344.0782
761	300.56802
762	315.78986
763	328.76004
764	274.21564
765	286.5956
766	292.89374
767	251.61911
768	224.59375
769	322.76517
770	291.11758
771	316.91095
772	253.25948
773	276.339
774	292.27914
775	325.91058
776	318.5229
777	197.52933
778	294.7987
779	227.71443
780	300.19354
781	320.54935
782	308.53253
783	310.9903
784	319.63483
785	259.27792
786	205.27347
787	273.5125
788	327.6828
789	276.78387
790	323.01987
791	292.48206
792	289.7394
793	294.56433
794	279.20917
795	289.3445
796	275.2499
797	271.16678
798	290.50616
799	280.96167
800	312.6212
801	313.88794
802	305.92856
803	269.8798
804	294.96506
805	306.5744
806	282.82037
807	291.63385
808	291.97455
809	306.24408
810	292.91635
811	311.2742
812	318.30414
813	164.03596
814	293.7316
815	324.6613
816	315.83423
817	299.281
818	276.53137
819	290.1548
820	189.11348
821	301.15634
822	320.40082
823	322.8647
824	301.7143
825	264.63434
826	288.43152
827	312.51227
828	282.93118
829	317.72266
830	205.41817
831	333.50397
832	222.70029
833	299.71332
834	316.6517
835	267.69064
836	267.21222
837	319.12854
838	248.16643
839	296.64664
840	325.88782
841	328.0373
842	161.19603
843	314.0589
844	330.2964
845	242.58733
846	291.12396
847	313.5502
848	325.8496
849	310.68475
850	277.52505
851	317.96982
852	289.664
853	302.7746
854	304.1687
855	314.43677
856	329.03482
857	307.06772
858	316.6293
859	293.50653
860	272.51428
861	258.9913
862	252.72134
863	295.0924
864	306.03018
865	310.1906
866	298.12994
867	308.30508
868	308.0477
869	284.3752
870	315.06738
871	250.28374
872	293.05487
873	263.5226
874	305.4986
875	305.39648
876	303.3972
877	331.67902
878	269.19073
879	314.28854
880	284.98734
881	328.70273
882	333.3652
883	312.65506
884	278.63983
885	271.1146
886	248.5247
887	270.5756
888	310.21967
889	195.39996
890	289.143
891	300.8215
892	274.4179
893	316.07617
894	283.1551
895	305.53275
896	294.5744
897	219.93254
898	311.06717
899	303.51276
900	290.13275
901	325.47787
902	265.18988
903	272.11932
904	239.47307
905	300.893
906	204.80801
907	317.13116
908	331.78003
909	179.3138
910	299.7922
911	299.2312
912	305.24463
913	306.46387
914	332.58905
915	317.10535
916	282.55145
917	263.5715
918	326.89517
919	290.71234
920	299.5525
921	275.4684
922	287.34174
923	258.3251
924	288.2293
925	320.52774
926	251.36804
927	18.74305
928	304.5771
929	282.83145
930	290.72925
931	239.57593
932	261.29425
933	282.84674
934	302.9764
935	303.57953
936	256.5859
937	324.24066
938	319.86847
939	317.76587
940	257.6611
941	319.6425
942	290.00397
943	234.45703
944	322.64996
945	318.42496
946	324.78333
947	261.29678
948	313.9979
949	256.5771
950	272.0351
951	319.1783
952	302.04672
953	191.2492
954	296.42526
955	305.92883
956	307.5907
957	160.3404
958	256.9024
959	302.45343
960	272.9664
961	257.5108
962	313.6785
963	339.7064
964	251.64009
965	298.63968
966	320.4929
967	291.6605
968	320.90024
969	304.18692
970	306.96127
971	257.8804
972	255.04236
973	300.79352
974	273.1325
975	322.16544
976	328.31943
977	286.01352
978	318.91458
979	283.81696
980	268.25436
981	266.7041
982	334.6391
983	196.35954
984	272.69244
985	306.70782
986	301.66397
987	338.3294
988	281.52948
989	307.54108
990	300.4073
991	315.2287
992	299.3047
993	313.59442
994	313.53223
995	333.6815
996	295.5035
997	326.41193
998	250.17105
999	300.3089
1000	322.823
1001	298.07056
1002	290.1199
1003	297.06976
1004	299.57025
1005	149.06714
1006	271.7707
1007	331.68094
1008	336.37396
1009	272.16638
1010	204.2856
1011	276.46588
1012	308.64005
1013	248.06094
1014	301.95026
1015	310.2205
1016	307.8288
1017	325.68057
1018	284.63547
1019	325.5042
1020	313.50128
1021	311.1939
1022	241.67964
1023	165.41444
1024	333.2823
1025	317.92645
1026	291.56494
1027	248.25931
1028	309.96564
1029	283.79672
1030	314.21945
1031	321.42807
1032	248.97266
1033	281.06906
1034	271.85596
1035	307.88068
1036	281.49045
1037	313.7613
1038	328.86
1039	308.90472
1040	292.86163
1041	192.32886
1042	20.156414
1043	260.6081
1044	239.10258
1045	306.37378
1046	224.96744
1047	304.84122
1048	295.5025
1049	312.20462
1050	181.03764
1051	321.31345
1052	320.81775
1053	319.23236
1054	295.99393
1055	328.9886
1056	326.7973
1057	335.72687
1058	267.162
1059	267.57733
1060	291.47626
1061	331.35187
1062	313.37207
1063	242.6272
1064	246.63489
1065	288.51654
1066	242.42764
1067	211.33968
1068	310.8777
1069	274.68036
1070	305.3505
1071	311.79074
1072	316.96024
1073	326.86856
1074	266.55957
1075	320.56793
1076	313.10168
1077	280.8128
1078	153.98117
1079	303.04828
1080	314.5277
1081	320.25528
1082	289.3349
1083	327.2992
1084	314.30283
1085	326.83057
1086	316.00336
1087	188.52829
1088	241.7679
1089	304.72565
1090	298.21588
1091	319.75357
1092	230.75105
1093	231.5529
1094	319.70065
1095	310.16687
1096	311.20703
1097	323.68677
1098	261.86075
1099	269.01202
1100	330.9706
1101	333.45966
1102	280.05536
1103	309.23215
1104	297.04538
1105	303.76678
1106	298.98535
1107	257.92725
1108	98.156906
1109	284.24963
1110	303.85474
1111	299.0323
1112	290.1435
1113	267.97348
1114	307.34634
1115	327.7995
1116	327.41272
1117	320.20667
1118	313.03616
1119	223.05148
1120	270.42694
1121	297.622
1122	277.90063
1123	320.7188
1124	318.1552
1125	291.52582
1126	276.81653
1127	325.9747
1128	314.86234
1129	284.14923
1130	294.31354
1131	323.6171
1132	308.48395
1133	307.56586
1134	280.47586
1135	276.47247
1136	209.0935
1137	327.825
1138	335.0652
1139	319.53595
1140	302.6529
1141	316.74808
1142	329.02887
1143	268.87094
1144	308.7845
1145	235.99179
1146	252.51656
1147	146.96796
1148	324.68524
1149	223.00854
1150	276.62613
1151	239.82585
1152	219.73882
1153	295.7443
1154	308.09726
1155	175.91335
1156	297.3561
1157	298.20782
1158	314.16434
1159	229.93086
1160	297.03754
1161	284.2414
1162	295.6648
1163	297.7265
1164	301.47226
1165	272.63483
1166	297.3277
1167	283.41217
1168	271.44876
1169	276.08307
1170	257.96887
1171	313.69806
1172	334.16217
1173	327.8419
1174	282.37738
1175	306.0523
1176	326.16522
1177	324.58948
1178	278.9159
1179	313.60782
1180	259.77936
1181	323.87738
1182	293.06445
1183	287.34604
1184	254.22148
1185	322.27505
1186	234.6836
1187	303.95993
1188	243.90018
1189	321.88782
1190	334.24954
1191	293.97437
1192	228.03235
1193	189.62766
1194	277.06403
1195	247.85745
1196	302.52756
1197	288.619
1198	321.5578
1199	311.8675
1200	327.19556
1201	248.31638
1202	260.95135
1203	272.44922
1204	291.0573
1205	228.24146
1206	242.15726
1207	326.35855
1208	323.40485
1209	321.02493
1210	180.86186
1211	322.7483
1212	177.9354
1213	186.68562
1214	141.57738
1215	233.21692
1216	232.10727
1217	296.58344
1218	307.6502
1219	305.28534
1220	286.54193
1221	306.92032
1222	221.22026
1223	257.51364
1224	309.3287
1225	329.26532
1226	319.68127
1227	295.0092
1228	324.904
1229	323.95294
1230	316.4682
1231	259.65982
1232	277.32147
1233	284.29932
1234	196.82602
1235	272.14136
1236	292.89157
1237	326.34488
1238	191.99014
1239	286.74405
1240	291.04486
1241	292.95538
1242	247.53987
1243	321.98572
1244	309.86798
1245	305.69257
1246	285.71613
1247	224.53928
1248	314.51312
1249	220.24551
1250	330.63266
1251	176.85725
1252	267.10794
1253	310.32507
1254	254.56674
1255	310.56598
1256	232.6423
1257	299.70795
1258	267.9747
1259	296.1907
1260	277.85797
1261	311.5715
1262	314.73138
1263	309.8593
1264	210.00461
1265	299.24994
1266	249.93767
1267	326.17325
1268	298.98126
1269	260.65863
1270	239.20004
1271	182.7937
1272	258.5281
1273	263.03247
1274	294.06244
1275	284.0555
1276	321.24802
1277	308.91327
1278	275.1288
1279	286.29694
1280	283.68246
1281	328.09412
1282	288.38297
1283	312.45856
1284	287.93024
1285	198.38791
1286	289.97607
1287	239.44376
1288	279.73276
1289	244.62862
1290	295.3045
1291	302.60294
1292	235.18921
1293	295.40942
1294	312.36624
1295	277.0191
1296	296.8542
1297	219.13965
1298	298.9982
1299	309.90424
1300	268.3221
1301	247.30708
1302	274.81558
1303	321.09882
1304	313.85828
1305	310.25165
1306	264.8941
1307	305.97153
1308	302.0407
1309	310.08356
1310	301.29276
1311	315.3886
1312	280.99878
1313	266.5539
1314	259.85733
1315	274.31723
1316	196.2747
1317	288.67673
1318	270.70404
1319	310.0522
1320	306.95084
1321	268.21704
1322	312.28217
1323	291.08868
1324	326.42474
1325	229.73738
1326	286.11298
1327	-92.54907
1328	214.58975
1329	297.68643
1330	288.91187
1331	305.61465
1332	278.102
1333	314.65674
1334	293.27283
1335	294.64493
1336	241.76042
1337	316.1978
1338	257.9876
1339	332.4186
1340	259.23798
1341	311.27188
1342	304.24472
1343	289.03647
1344	319.16074
1345	234.80327
1346	270.2104
1347	306.3216
1348	282.8815
1349	327.66724
1350	307.86804
1351	264.29205
1352	310.19562
1353	300.42764
1354	313.91522
1355	310.90424
1356	329.74246
1357	176.24942
1358	212.59868
1359	317.29694
1360	303.7719
1361	314.9357
1362	306.93973
1363	266.7414
1364	224.39328
1365	272.04153
1366	318.39117
1367	310.50073
1368	174.48344
1369	222.34248
1370	309.24084
1371	323.09637
1372	323.8105
1373	318.39935
1374	289.45163
1375	309.05295
1376	240.41167
1377	243.93208
1378	289.85596
1379	287.36176
1380	316.01825
1381	316.1932
1382	308.82407
1383	310.47247
1384	278.18085
1385	310.24606
1386	325.37656
1387	329.51544
1388	290.7142
1389	259.2588
1390	192.8776
1391	170.4862
1392	325.40903
1393	293.83765
1394	281.81357
1395	307.2036
1396	255.17033
1397	306.61462
1398	256.11896
1399	300.45337
1400	307.56488
1401	158.21927
1402	318.35376
1403	256.73495
1404	295.85474
1405	310.04974
1406	315.41986
1407	312.73267
1408	256.77148
1409	313.3681
1410	306.66663
1411	319.36374
1412	128.77539
1413	262.1079
1414	311.30493
1415	315.06183
1416	312.75705
1417	256.39154
1418	278.14478
1419	312.98965
1420	210.87524
1421	245.26367
1422	322.49603
1423	304.05722
1424	289.46814
1425	294.0826
1426	266.87112
1427	302.6504
1428	282.95444
1429	257.97928
1430	248.50468
1431	305.98154
1432	120.58745
1433	281.95987
1434	226.2666
1435	237.35156
1436	309.2561
1437	292.16528
1438	204.84732
1439	175.44695
1440	303.90607
1441	240.97307
1442	312.5677
1443	259.33005
1444	302.8135
1445	195.94383
1446	290.4975
1447	279.8854
1448	192.86005
1449	277.81244
1450	310.13385
1451	239.87341
1452	292.15964
1453	312.4248
1454	241.86215
1455	238.81091
1456	160.65108
1457	284.61758
1458	260.1356
1459	322.53012
1460	331.22244
1461	283.49472
1462	295.5878
1463	213.7209
1464	284.25983
1465	275.14536
1466	307.31635
1467	76.00022
1468	281.29004
1469	252.03593
1470	282.6666
1471	306.09933
1472	308.5174
1473	318.42606
1474	222.29301
1475	290.93448
1476	303.81088
1477	246.96797
1478	285.83252
1479	222.36801
1480	312.94412
1481	302.51578
1482	145.74773
1483	146.06058
1484	268.65488
1485	289.75952
1486	303.33725
1487	314.76825
1488	292.4788
1489	275.03998
1490	302.23456
1491	293.71994
1492	293.30743
1493	298.9322
1494	234.98218
1495	221.5061
1496	223.14307
1497	269.6623
1498	266.47852
1499	308.86313
1500	247.96318
1501	301.9383
1502	274.19208
1503	303.46576
1504	293.78696
1505	335.25952
1506	321.04694
1507	317.35562
1508	314.85605
1509	280.4743
1510	320.49957
1511	271.1884
1512	259.35904
1513	224.55481
1514	319.649
1515	239.07588
1516	291.54266
1517	311.88818
1518	306.3711
1519	299.4052
1520	293.02927
1521	324.26352
1522	296.8615
1523	309.70282
1524	265.3657
1525	319.4142
1526	202.38704
1527	166.72153
1528	316.6489
1529	280.63544
