	z_coordinate_0	z_coordinate_1
0	-6.781555	2.5288715
1	8.12074	-6.584157
2	3.9922829	0.64357877
3	-6.747768	5.9198947
4	1.0022968	-3.292934
5	-10.430024	0.70497537
6	3.231833	2.1785583
7	11.8124075	-3.1254354
8	-0.26824254	7.8297043
9	-6.832374	5.6178203
10	-6.0990767	5.336938
11	-6.5223136	5.7627115
12	-1.1179247	8.621755
13	13.512136	-14.1076765
14	0.874234	-2.296275
15	0.2816698	-1.8833704
16	-9.984846	0.70440686
17	0.86462975	-2.2040062
18	-6.7335844	5.563244
19	1.0067284	-2.489624
20	5.6453357	3.738305
21	0.26920444	-2.0750802
22	0.47204816	-1.162724
23	-6.6656394	-9.801427
24	-7.322206	0.48099077
25	-8.073477	-2.913814
26	12.563516	-3.1916676
27	-6.3985686	-9.785682
28	-6.3874354	5.5760775
29	-5.346132	-10.327642
30	-10.347222	0.2005963
31	0.0113125	-1.5890903
32	-0.21933998	-2.3940704
33	-0.8270536	-2.4066863
34	-6.515673	4.7005873
35	0.32773685	6.156703
36	5.6249137	11.41943
37	1.0679199	-2.3537297
38	-10.601636	0.7343278
39	2.5782497	1.0884589
40	1.2163305	-1.9759347
41	-6.9074607	5.7230573
42	0.30870152	-2.4776964
43	9.74152	8.710524
44	-0.21210773	-2.3951414
45	10.257108	8.966034
46	-0.295619	-2.400983
47	0.54194856	-2.3004718
48	-10.448192	0.48186627
49	-10.528676	-0.52526104
50	2.2925591	-2.3744345
51	-0.403188	-1.2399794
52	5.4988523	3.7868173
53	1.1087378	-3.195672
54	11.066084	-3.8771544
55	-0.35574323	-2.063621
56	0.6775609	-2.3059418
57	8.403516	-0.38125756
58	0.7751241	-2.5401254
59	0.33459675	-1.8148813
60	11.420648	-2.2637093
61	-6.561581	5.25546
62	-9.847941	0.56124437
63	5.0750594	3.9467816
64	9.448794	8.127037
65	4.323077	7.524449
66	6.409364	11.661949
67	0.4268716	-1.5171033
68	0.15345572	-2.1793456
69	11.7793455	3.111112
70	5.516703	3.6219804
71	-9.7185335	-3.5643277
72	1.1604193	-4.283361
73	0.39996368	-2.2467735
74	-0.007180348	6.19371
75	-5.0921006	3.3332586
76	-6.115728	-9.718153
77	-5.2288523	-9.605531
78	0.8401016	-1.8711286
79	0.54902387	-2.3220074
80	0.0016481131	-1.5348834
81	0.44592416	-1.6940024
82	1.3095907	-2.0051572
83	-6.5579634	-9.313192
84	-4.762354	-8.0953045
85	-0.24025638	-1.814733
86	0.9327915	-1.5642576
87	-6.173975	-9.378206
88	-10.16801	-3.806126
89	-1.1888272	-3.0323715
90	0.0822687	-1.4817466
91	0.19677497	-2.3913853
92	-10.280292	0.47007278
93	-0.73830396	-2.6982837
94	4.31385	7.489406
95	2.1737247	-3.2076275
96	-0.2600568	-1.4990692
97	-6.2107167	-9.46952
98	0.39984804	-1.6496966
99	7.575682	-10.628436
100	0.5141992	-1.4931779
101	-6.747871	5.290942
102	0.60862195	-2.4937358
103	-10.880353	1.6854858
104	-0.6287371	-2.1868262
105	-8.901597	-0.43118027
106	12.152764	3.1241388
107	-0.37642127	-1.5905223
108	-10.430083	-0.028657824
109	1.5040228	-1.7624564
110	-6.3540945	5.420092
111	-0.8730536	-1.8336582
112	0.7080121	-2.1926353
113	-6.208225	-9.580358
114	-6.5411644	5.4640546
115	3.3666458	12.472012
116	0.7898351	-2.262167
117	2.8834534	-2.4625223
118	1.4518799	0.26492852
119	12.496934	2.943944
120	-6.2936263	5.7228127
121	-0.61702955	-1.4609442
122	3.8080606	12.04714
123	-0.6965034	8.710174
124	6.137508	2.5764115
125	-0.5218146	-1.3085933
126	-1.1672498	-1.2129562
127	4.271584	5.31295
128	-4.5809093	-7.874628
129	11.475749	-3.1551638
130	-6.233808	5.1013784
131	-6.2707076	-10.075239
132	0.74257195	-2.1480193
133	-5.0891323	-10.008898
134	2.176776	4.5027084
135	-10.339122	0.47047612
136	4.3763695	0.9666635
137	-5.089812	4.4507203
138	-1.0327134	-1.4274807
139	-1.0347089	8.799693
140	3.8524523	2.1099243
141	11.719714	2.968626
142	7.4076447	1.4977561
143	4.9488072	-4.218459
144	10.857278	-3.7820835
145	2.0919354	-2.7999218
146	11.873445	3.1614838
147	3.320054	12.192034
148	-6.5539527	-9.742577
149	2.6702318	12.429592
150	9.927279	7.756215
151	5.573823	3.73049
152	-1.9313991	-1.4019713
153	-0.80854756	-1.420727
