	log_likelihood
0	295.82114
1	219.35054
2	312.2646
3	306.27374
4	334.08252
5	307.40015
6	302.37128
7	295.43723
8	314.4083
9	302.23373
10	309.93268
11	312.82022
12	295.3979
13	152.52089
14	339.76147
15	329.48383
16	307.2316
17	325.878
18	321.43408
19	328.3935
20	310.5257
21	337.25107
22	315.91122
23	213.33574
24	311.5252
25	290.6946
26	275.73486
27	242.3682
28	317.50577
29	241.6054
30	309.11548
31	342.90924
32	334.2307
33	327.6032
34	313.33096
35	293.4419
36	277.81058
37	339.70337
38	280.26178
39	319.30402
40	329.55435
41	316.6797
42	317.00327
43	270.78607
44	323.00897
45	241.40115
46	332.35162
47	342.47577
48	299.6765
49	287.773
50	320.6669
51	327.63916
52	307.18857
53	341.7908
54	300.21338
55	311.69083
56	333.51483
57	288.0293
58	315.2417
59	327.49347
60	297.5511
61	306.79767
62	302.20874
63	297.4251
64	276.79776
65	226.66174
66	272.9758
67	320.27295
68	337.87738
69	292.1197
70	307.45093
71	281.23926
72	300.7719
73	325.3645
74	312.3763
75	316.39142
76	252.42795
77	230.55977
78	311.99213
79	327.53143
80	308.04663
81	321.55914
82	328.34216
83	242.47717
84	277.7126
85	316.49243
86	320.67767
87	228.67502
88	262.9466
89	327.43018
90	334.57904
91	332.82556
92	318.5396
93	316.2872
94	235.5395
95	297.27194
96	326.47357
97	235.51822
98	328.9
99	265.2801
100	322.45987
101	308.88443
102	313.629
103	277.13834
104	317.3788
105	312.53027
106	291.70444
107	298.50827
108	307.82108
109	319.47388
110	306.671
111	338.11203
112	337.94827
113	255.53198
114	298.25275
115	274.42847
116	325.50092
117	310.43658
118	290.52475
119	261.9127
120	315.5056
121	337.10483
122	276.4996
123	288.4742
124	233.1669
125	314.15152
126	322.86954
127	272.04865
128	255.4952
129	284.08322
130	308.1213
131	237.24844
132	326.29068
133	226.4403
134	304.05518
135	305.57135
136	301.96368
137	301.37054
138	336.21933
139	302.20572
140	295.6883
141	286.19824
142	290.99432
143	289.68414
144	288.81662
145	313.4484
146	293.4467
147	291.13867
148	211.82585
149	263.30026
150	296.04507
151	308.61118
152	314.65778
153	326.78717
154	302.89886
155	295.23212
156	319.1525
157	333.90482
158	324.1716
159	287.03693
160	215.37573
161	323.16583
162	311.98386
163	303.7306
164	309.43488
165	307.64468
166	181.73468
167	278.4458
168	225.72493
169	306.00467
170	285.29645
171	293.20126
172	333.9687
173	328.53644
174	319.57397
175	328.0713
176	237.99702
177	331.84137
178	218.65312
179	290.00397
180	202.50322
181	234.27351
182	224.84819
183	305.58038
184	318.3183
185	265.07208
186	269.83722
187	321.85886
188	310.59583
189	299.19174
190	280.29108
191	280.8829
192	295.81195
193	297.34528
194	295.80658
195	261.20538
196	305.45523
197	177.39876
198	305.90845
199	320.6591
200	334.68033
201	279.34445
202	311.18695
203	305.66272
204	317.63977
205	292.46988
206	295.21304
207	295.61386
208	243.8155
209	282.6782
210	223.09518
211	301.7022
212	296.7724
213	288.6292
214	305.77374
215	127.06299
216	308.02002
217	133.52744
218	309.50476
219	274.5567
220	276.32562
221	314.99213
222	332.56488
223	327.34106
224	298.50864
225	320.9608
226	227.5989
227	320.21738
228	310.6081
229	316.32623
230	316.7669
231	324.8604
232	299.7044
233	307.88446
234	187.75812
235	292.2585
236	321.30936
237	309.267
238	259.52002
239	308.16714
240	262.5031
241	269.0135
242	319.3399
243	324.5105
244	320.14078
245	320.49847
246	277.8367
247	319.40097
248	306.56454
249	298.4091
250	306.86008
251	327.40054
252	321.45206
253	298.89093
254	313.60706
255	319.47906
256	333.40625
257	273.58942
258	232.46513
259	317.3351
260	302.31653
261	342.4518
262	324.11197
263	288.2308
264	323.95523
265	285.9213
266	323.5165
267	286.14972
268	296.38644
269	290.9206
270	225.24332
271	321.49994
272	237.15186
273	320.2321
274	293.82062
275	325.2328
276	293.8847
277	320.6295
278	280.4196
279	275.65875
280	309.1445
281	335.75314
282	303.72736
283	234.39351
284	331.92413
285	274.43585
286	312.44235
287	305.7027
288	309.54834
289	314.54767
290	310.57294
291	310.14868
292	193.39082
293	322.4913
294	250.95468
295	337.36655
296	337.41098
297	240.27657
298	301.9178
299	294.7399
300	290.65457
301	302.4406
302	317.1873
303	317.8108
304	325.75952
305	293.84106
306	318.1227
307	163.49632
308	318.11276
309	316.84488
310	262.62036
311	318.93564
312	286.65094
313	330.5687
314	281.52747
315	309.62146
316	255.1248
317	301.68692
318	312.89438
319	308.7142
320	319.6455
321	78.47605
322	291.72296
323	327.12143
324	326.02594
325	309.96106
326	260.2443
327	304.015
328	306.96
329	222.30098
330	297.12726
331	252.45969
332	308.89362
333	294.55872
334	334.5599
335	303.923
336	321.90787
337	342.27747
338	278.6622
339	312.57147
340	315.9554
341	329.96826
342	-16.62862
343	243.94101
344	323.08325
345	291.17902
346	322.57016
347	322.11426
348	303.6437
349	331.94293
350	284.63785
351	311.2188
352	311.2073
353	318.11072
354	307.35333
355	279.34464
356	320.49326
357	283.78122
358	306.87305
359	334.51285
360	229.81258
361	316.99707
362	278.26776
363	286.19687
364	297.91315
365	331.22452
366	263.9458
367	319.6025
368	282.4208
369	251.19258
370	338.1058
371	268.2121
372	314.59723
373	288.18246
374	314.75748
375	286.5196
376	278.777
377	323.39203
378	314.87952
379	288.57443
380	290.16846
381	294.94803
382	222.57047
383	294.9134
384	306.4229
385	286.97144
386	196.94858
387	199.30023
388	281.82104
389	324.07455
390	291.11954
391	332.22458
392	309.99265
393	337.20355
394	328.4682
395	232.15361
396	310.7962
397	308.57095
398	331.82806
399	299.39404
400	325.748
401	235.45459
402	274.53363
403	298.30865
404	320.3706
405	313.5399
406	288.7034
407	285.39374
408	241.90022
409	302.51675
410	244.28731
411	208.02461
412	316.0886
413	313.6241
414	278.3122
415	308.9466
416	318.15472
417	336.48697
418	320.274
419	317.75388
420	315.72446
421	297.2199
422	271.1324
423	326.66635
424	286.49203
425	213.88594
426	292.33307
427	271.75107
428	292.56827
429	320.00772
430	320.75165
431	311.89655
432	315.42484
433	251.37338
434	272.98257
435	292.06216
436	277.30096
437	336.7655
438	304.9888
439	297.66553
440	337.6103
441	288.87262
442	289.4427
443	315.77454
444	309.7237
445	326.4499
446	302.10577
447	315.9844
448	143.31244
449	252.13718
450	217.88623
451	323.0759
452	310.04022
453	274.14655
454	331.97076
455	328.12042
456	220.01755
457	328.66467
458	304.58765
459	297.7358
460	275.36566
461	320.96753
462	321.3077
463	306.27255
464	296.61615
465	297.48102
466	312.80795
467	293.06403
468	209.62915
469	242.33975
470	275.47784
471	329.83075
472	311.74316
473	321.85666
474	292.92072
475	318.0079
476	275.74005
477	302.77148
478	344.16293
479	288.9761
480	315.90424
481	321.48254
482	316.3377
483	316.79312
484	309.37833
485	276.84427
486	321.05518
487	305.7754
488	310.355
489	315.54596
490	318.52994
491	309.23764
492	280.35757
493	307.30783
494	301.385
495	266.7778
496	243.4771
497	284.04053
498	261.7723
499	305.42474
500	284.86935
501	190.40445
502	267.94672
503	317.3585
504	320.09344
505	322.5999
506	315.50455
507	294.96082
508	220.54411
509	313.32135
510	314.44803
511	291.30264
512	300.1596
513	324.88342
514	319.8496
515	318.0998
516	270.19495
517	294.188
518	323.6253
519	292.0876
520	326.44922
521	248.47002
522	298.8292
523	312.48184
524	317.68274
525	311.0541
526	302.93127
527	311.73776
528	283.22787
529	315.15973
530	308.04974
531	312.41656
532	308.87527
533	327.61902
534	285.13324
535	253.19019
536	236.70833
537	326.102
538	211.56393
539	336.36176
540	312.1811
541	303.01913
542	318.51923
543	318.182
544	210.28061
545	300.1656
546	216.51315
547	302.70563
548	186.5636
549	329.40848
550	324.09015
551	206.36154
552	299.8562
553	309.49783
554	269.71744
555	281.7546
556	282.98932
557	316.41815
558	310.46207
559	273.92526
560	238.95723
561	303.0984
562	221.19016
563	275.30707
564	318.12442
565	293.7609
566	320.1491
567	328.0699
568	335.62457
569	316.52216
570	178.72234
571	304.76514
572	329.27902
573	300.74274
574	286.2734
575	284.87027
576	322.17303
577	223.52075
578	299.61646
579	302.26202
580	278.78085
581	286.00314
582	273.9192
583	301.85583
584	327.09625
585	304.09244
586	295.77026
587	296.7443
588	291.20917
589	315.1896
590	293.03394
591	312.22614
592	321.1529
593	301.94635
594	296.30792
595	312.6605
596	275.75488
597	322.40054
598	305.44293
599	306.31924
600	321.49515
601	269.39908
602	278.81876
603	319.81842
604	301.29767
605	287.3017
606	315.57663
607	274.3454
608	296.8553
609	291.50067
610	311.46167
611	342.86102
612	315.69888
613	295.04617
614	196.26633
615	308.20743
616	332.80402
617	255.78183
618	273.90933
619	309.8748
620	291.1588
621	305.47137
622	308.17123
623	278.33585
624	311.99698
625	286.46304
626	316.11255
627	304.4406
628	220.12492
629	325.21167
630	281.79907
631	316.61945
632	283.84064
633	317.51715
634	320.69952
635	306.0036
636	192.31285
637	268.30533
638	305.64236
639	324.13144
640	289.95596
641	242.764
642	213.28365
643	309.24597
644	325.3205
645	235.26523
646	296.08563
647	317.68304
648	327.39984
649	222.53323
650	320.83475
651	271.64154
652	340.67456
653	235.33054
654	320.3014
655	219.7352
656	331.49985
657	253.10757
658	304.47134
659	320.3016
660	303.59778
661	320.60846
662	319.99124
663	295.68005
664	157.46213
665	305.4701
666	307.5771
667	310.89435
668	318.92984
669	277.23163
670	227.4574
671	309.16388
672	272.41473
673	294.47766
674	320.41132
675	289.98474
676	302.6425
677	296.39508
678	326.51547
679	316.4144
680	324.7209
681	287.49567
682	327.2535
683	222.82117
684	309.2303
685	304.30966
686	214.56393
687	311.3106
688	302.05988
689	285.22824
690	250.7096
691	258.07983
692	266.44656
693	271.5583
694	287.73624
695	262.18597
696	294.627
697	284.43204
698	306.4151
699	304.87134
700	299.805
701	283.30618
702	296.9858
703	285.1116
704	308.52914
705	324.55597
706	314.8566
707	288.4888
708	297.14282
709	245.13293
710	304.7597
711	314.4438
712	302.8748
713	321.1408
714	336.0899
715	308.1818
716	289.71744
717	300.16205
718	316.6229
719	283.662
720	324.20444
721	318.6767
722	314.6465
723	311.13043
724	276.4962
725	184.44296
726	241.1066
727	329.33237
728	278.7105
729	319.22705
730	329.21954
731	330.63858
732	234.53036
733	324.02045
734	327.98834
735	231.90227
736	255.41898
737	297.82803
738	278.03842
739	294.50592
740	326.2331
741	283.20218
742	276.42398
743	288.14154
744	299.08276
745	323.4428
746	295.27808
747	287.41095
748	321.87164
749	338.0567
750	332.7254
751	304.45132
752	244.21396
753	334.2877
754	248.5145
755	317.79535
756	255.14043
757	316.164
758	305.85678
759	297.0886
760	340.96765
761	301.82086
762	314.99185
763	326.89673
764	275.38843
765	289.8243
766	296.86514
767	247.99063
768	221.54703
769	319.5018
770	296.35992
771	312.15363
772	251.44612
773	270.43677
774	290.75186
775	322.0794
776	315.92987
777	192.39745
778	293.08026
779	220.69499
780	301.5556
781	323.61807
782	312.01602
783	312.1813
784	319.0307
785	255.30522
786	199.42488
787	273.97516
788	328.04913
789	275.52667
790	322.16815
791	291.20712
792	286.95892
793	295.23953
794	280.9471
795	288.6476
796	272.29932
797	270.8567
798	293.2514
799	282.61923
800	313.2184
801	314.5235
802	306.10052
803	269.90356
804	296.10165
805	306.72037
806	287.0193
807	289.80634
808	290.08453
809	311.5424
810	291.0556
811	314.8769
812	318.997
813	157.60544
814	292.62518
815	322.97256
816	317.97784
817	303.4047
818	277.6281
819	287.6212
820	184.10233
821	298.0882
822	320.81387
823	317.61313
824	309.28488
825	255.62154
826	274.50934
827	313.039
828	277.37006
829	319.224
830	208.56534
831	326.64383
832	215.72554
833	298.25912
834	318.12762
835	269.15195
836	269.97882
837	314.4477
838	250.83989
839	290.3624
840	323.39532
841	325.35202
842	176.37877
843	313.92728
844	325.76587
845	238.63982
846	287.9189
847	313.73517
848	328.62057
849	313.20392
850	280.80817
851	316.02032
852	289.44012
853	306.3436
854	304.9567
855	317.5197
856	327.52344
857	310.84305
858	312.85773
859	289.07138
860	275.1738
861	258.0999
862	246.61514
863	300.64282
864	304.6917
865	307.17825
866	294.41815
867	305.36688
868	314.55634
869	283.1528
870	313.24518
871	246.12898
872	292.93475
873	261.62238
874	308.7431
875	299.598
876	306.92462
877	333.04712
878	273.8417
879	310.12186
880	283.53372
881	331.35107
882	332.84128
883	307.7168
884	274.59882
885	268.59003
886	245.1373
887	267.0324
888	309.52194
889	187.4223
890	281.39365
891	296.87753
892	268.53726
893	314.9286
894	284.79376
895	311.57178
896	286.2593
897	214.0295
898	308.57904
899	306.1022
900	285.76532
901	327.22372
902	263.7222
903	274.56097
904	234.79594
905	294.082
906	198.38943
907	314.50842
908	330.81613
909	184.11873
910	291.29938
911	300.89175
912	307.28897
913	303.0969
914	330.1461
915	318.97882
916	280.9854
917	262.6456
918	327.9657
919	288.67368
920	296.104
921	277.0538
922	284.30658
923	261.99936
924	287.54028
925	322.29025
926	253.7688
927	50.54702
928	303.37393
929	287.46637
930	295.09113
931	236.17392
932	260.0298
933	284.1818
934	299.84726
935	307.79254
936	252.24138
937	313.6237
938	314.59918
939	322.50946
940	254.42924
941	321.79425
942	287.75946
943	238.45256
944	322.15765
945	318.92343
946	321.9864
947	269.9222
948	319.1231
949	256.99878
950	268.48383
951	318.68207
952	295.31207
953	188.35812
954	297.22018
955	303.89316
956	304.99316
957	150.1082
958	262.08212
959	305.96436
960	275.77603
961	259.38712
962	315.12106
963	338.81195
964	252.75842
965	293.34787
966	314.46405
967	289.65118
968	328.67282
969	302.6582
970	304.0868
971	257.82126
972	247.5894
973	302.82373
974	272.8657
975	317.91064
976	333.6212
977	281.64575
978	315.71588
979	284.98538
980	268.1629
981	272.54947
982	330.62045
983	187.15335
984	267.74313
985	304.78253
986	305.01022
987	332.05542
988	289.5124
989	302.7614
990	298.14716
991	307.63348
992	298.10327
993	316.12744
994	308.25284
995	327.23087
996	305.20303
997	327.53198
998	249.65031
999	304.59003
1000	321.72333
1001	301.40768
1002	287.60724
1003	294.90433
1004	297.84357
1005	142.91687
1006	272.13184
1007	324.47647
1008	330.49326
1009	269.57202
1010	200.55496
1011	274.90985
1012	305.8885
1013	242.83481
1014	302.76013
1015	312.11563
1016	302.60138
1017	324.85748
1018	288.50494
1019	328.19278
1020	318.13214
1021	306.10245
1022	243.51212
1023	149.77109
1024	329.5731
1025	320.30292
1026	296.70078
